Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
8-May-09;MT-992;M4;75296;2.04;0.02;3.43;19.97;20;200;20;5;10.3;19.36;0.28;5.09;26.05;61.25971422;9.78721701;59;250;15;5;11;7.31;0.01;38.45;14.99;25.22652094;80.63213312;78
8-May-09;MT-993;M4A;51521;0.44;0.14;7.02;10.73;10;250;12.5;5;9.7;8.35;4.44;7.75;12.41;46.36529044;2.77021585;44;300;15;10;11;1.18;0.09;45.35;8.03;35.92045511;88.86740792;86
8-May-09;MT-994;M4A;133965;1.01;1.74;8.17;11.72;20;250;12.5;5;9.9;9.034697624;29.15198704;6.594611231;11.11431965;42.81744218;3.895726427;40;300;20;5;11;2.73;0.65;48.25;7.44;41.52480133;91.48173437;89
13-May-09;MT-995;M4A;69686;1.08;0.81;3.24;14.89;20;150;8;10;10.25;15.05;11.14;5.63;17.5;79.27976115;10.38136914;77;250;20;5;11;2.34;0.54;46.95;8.67;11.12653101;78.14477194;76
13-May-09;MT-996;M3;129720;1.47;0.07;1.58;23.37;30;150;7;10;10.56;19.32167763;0.928289474;4.077713816;24.62199013;84.5876851;16.53147982;81.5;200;8;5;11;2.55;0.08;41.95;11.96;4.195513409;63.91599868;61
13-May-09;MT-997;M3;81938;1.38;0.07;1.11;26.49;20;120;8;10;10.75;19.7;0.97;2.92;27.8;84.40179365;15.89339653;82.2;180;5;5;11.2;2.72;0.16;36;14.37;3.053795127;51.34780842;49
6-Jun-09;MT-1006;M4A;67534;0.27;0.05;5.12;10.2;20;200;8;5;10.25;6.64;2.23;13.32;9.97;33.65981714;3.639468561;30;350;35;10;11.2;1.39;0.08;43.8;7.79;53.60188286;91.03940904;90
8-Jun-09;MT-1010;M3;21045;0.85;0.01;0.92;13.8;30;100;4;5;10.4;20.06685879;0.345806916;7.285072046;22.69295389;79.01351123;25.00160716;75.3;150;5;5;11.5;4.17;0.04;34.7;10.26;9.179737809;66.57877585;62
8-Jun-09;MT-1011;M4;24638;0.73;0.01;1.81;13.3;30;100;4;5;10.4;21.82924444;0.116733333;9.211;22.21666667;69.53386243;10.15124186;67;200;4;5;11.4;3.34;0.01;45.15;7.81;17.14074166;80.16700158;77.5
11-Jun-09;MT-1012;M4A;70000;0.17;0.07;3.06;8.44;30;150;2;5;9.9;8.61;3.11;30.06;9.56;30.65189709;6.427001366;29.3;200;10;5;10.9;1.59;0.49;44.9;5.8;48.8105377;82.78049466;79.5
11-Jun-09;MT-1013;M4A;71000;0.58;0.07;4.24;9.05;20;200;3;5;10;13.56;1.58;16.8;13.52;59.2938448;10.25091964;56.5;220;15;5;11;2.3;0.19;45.65;7.28;30.67172923;84.94832738;82.5
11-Jun-09;MT-1014;M4A;80000;0.55;0.09;3.76;10.51;20;200;4;5;10;11.71;3.27;8.25;12.93;46.98277883;4.636824648;44.8;220;15;5;11.1;3.31;0.16;47.55;7.07;45.21645868;90.99216369;89.2
11-Jun-09;MT-1015;M4;81829;0.54;0.01;0.61;13.19;30;80;3;5;10;18.49311688;0.340909091;7.498051948;19.85428571;67.44395143;25.56972939;64.3;100;3;5;10.97;10.88;0.06;34.25;13.35;21.90080068;64.46685258;62.1
27-Jun-09;MT-1016;M4A;150330;0.37;0.05;4.75;10.5;5;200;2.5;5;10.1;13.55;3.08;11.32;15.46;34.65236812;2.278313652;33;300;30;5;11;1.99;0.1;43.85;12.34;53.71028535;93.14240389;90
27-Jun-09;MT-1017;M4A;101921;1.05;0.03;3.43;13.12;10;180;8;5;10.2;21.08;0.7;12.34;21.54;71.50832399;11.24014667;69.2;280;20;5;11;2.27;0.1;46.95;8.38;14.98052216;83.19697139;80.2
8-Jul-09;MT-1019;MP;25969;0.59;3.2;1.22;3.58;30;120;10;5;9.5;5.160146444;33.59688285;13.15069038;4.832949791;60.09389709;75.93064728;57.5;200;5;5;10.8;5.48;8.44;12;6.32;14.73084782;15.99295215;14.5
28-Jul-09;MT-1020;M4A;17831;1.88;0.01;5.11;14.16;20;200;50;15;10.2;22.65;0.14;5.02;23.13;71.8;5.7;70;300;30;5;11;3.5;0.01;50.7;7.17;16.9;87.8;85
28-Jul-09;MT-1021;M6;46583;2.15;0.01;3.04;15.54;20;200;30;10;10.2;25.76;0.11;9.61;23.77;81.43060727;20.84723436;79;250;15;5;11;4.34;0.02;44.8;8.42;10.28680035;72.87051544;71
28-Jul-09;MT-1022;M4A;25050;2.74;0.01;4.63;15.56;20;200;45;5;10.3;29.75;0.14;4.52;27.42;85.53017359;7.916215087;84;220;10;5;11.4;3.07;0.01;51.6;6.63;8.476372426;86.7896873;85
2-Ago-09;MT-1023;M3;0;1.29;0.04;0.97;27.71;30;150;12.5;5;0.2;17.58;0.55;2.83;26.23;81.81210166;17.88735727;78;200;7.5;5;11;1.88;0.04;34.55;13.51;2.893417609;72.2208158;70
2-Ago-09;MT-1028;M6;95303;1.35;0.01;3.08;4.85;100;250;65;15;10;25.57;0.33;6.04;9.01;77.13075109;8.324356942;74;250;30;5;11;1.57;0.04;34;2.96;7.38883215;73.10919276;70
